<UNK> 1.0	SPN
l'air 1.0	ll ai rr 
l'air 1.0	l  ɛ  ʁ  
laise 1.0	ll ai zz 
laise 1.0	l  ɛ  z  
laissent 1.0	ll ai ss 
laissent 1.0	ll ai ss tt 
laissent 1.0	l  ɛ  s  
laissent 1.0	l  ɛ  s  t  
laj 1.0	ll aa jj 
laj 1.0	l  ɑ  ʒ  
lajan 1.0	ll aa jj an 
lajan 1.0	ll aa jj an nn 
lajan 1.0	l  ɑ  ʒ  ɑ̃  
lajan 1.0	l  ɑ  ʒ  ɑ̃  n  
lajol 1.0	ll aa jj oo ll 
lajol 1.0	l  ɑ  ʒ  ɔ  l  
lajouné 1.0	ll aa jj ou nn ei 
lajouné 1.0	l  ɑ  ʒ  u  n  e  
lakanaval 1.0	ll aa kk aa nn aa vv aa ll 
lakanaval 1.0	l  ɑ  k  ɑ  n  ɑ  v  ɑ  l  
lakanpay 1.0	ll aa kk an pp aa ii 
lakanpay 1.0	l  ɑ  k  ɑ̃  p  ɑ  i  
lakat 1.0	ll aa kk aa 
lakat 1.0	ll aa kk aa tt 
lakat 1.0	l  ɑ  k  ɑ  
lakat 1.0	l  ɑ  k  ɑ  t  
lakaz 1.0	ll aa kk aa 
lakaz 1.0	ll aa kk aa zz 
lakaz 1.0	l  ɑ  k  ɑ  
lakaz 1.0	l  ɑ  k  ɑ  z  
lakilti 1.0	ll aa kk ii ll tt ii 
lakilti 1.0	l  ɑ  k  i  l  t  i  
lakontantman 1.0	ll aa kk on tt an tt mm an 
lakontantman 1.0	ll aa kk on tt an tt mm an nn 
lakontantman 1.0	l  ɑ  k  ɔ̃  t  ɑ̃  t  m  ɑ̃  
lakontantman 1.0	l  ɑ  k  ɔ̃  t  ɑ̃  t  m  ɑ̃  n  
lakrent 1.0	ll aa kk rr an 
lakrent 1.0	ll aa kk rr an tt 
lakrent 1.0	l  ɑ  k  ʁ  ɑ̃  
lakrent 1.0	l  ɑ  k  ʁ  ɑ̃  t  
lalé 1.0	ll aa ll ei 
lalé 1.0	l  ɑ  l  e  
lalin 1.0	ll aa ll in 
lalin 1.0	ll aa ll in nn 
lalin 1.0	l  ɑ  l  ɛ̃  
lalin 1.0	l  ɑ  l  ɛ̃  n  
lalit 1.0	ll aa ll ii 
lalit 1.0	ll aa ll ii tt 
lalit 1.0	l  ɑ  l  i  
lalit 1.0	l  ɑ  l  i  t  
lalitérati 1.0	ll aa ll ii tt ei rr aa tt ii 
lalitérati 1.0	l  ɑ  l  i  t  e  ʁ  ɑ  t  i  
laliwonnaj 1.0	ll aa ll ii ww oo nn aa jj 
laliwonnaj 1.0	l  ɑ  l  i  w  ɔ  n  ɑ  ʒ  
laliwonnaj-lasa 1.0	ll aa ll ii ww oo nn aa jj ll aa zz aa 
laliwonnaj-lasa 1.0	l  ɑ  l  i  w  ɔ  n  ɑ  ʒ  l  ɑ  z  ɑ  
lamen 1.0	ll aa mm ai nn 
lamen 1.0	l  ɑ  m  ɛ  n  
l'amener 1.0	ll aa mm ee nn ei 
l'amener 1.0	ll aa mm nn ei 
l'amener 1.0	l  ɑ  m  ə  n  e  
l'amener 1.0	l  ɑ  m  n  e  
lanbéli 1.0	ll an bb ei ll ii 
lanbéli 1.0	l  ɑ̃  b  e  l  i  
lanbi 1.0	ll an bb ii 
lanbi 1.0	l  ɑ̃  b  i  
landémen 1.0	ll an dd ei mm ai nn 
landémen 1.0	l  ɑ̃  d  e  m  ɛ  n  
lang 1.0	ll an 
lang 1.0	ll an kk 
lang 1.0	l  ɑ̃  
lang 1.0	l  ɑ̃  k  
langaj 1.0	ll an gg aa jj 
langaj 1.0	l  ɑ̃  g  ɑ  ʒ  
langoust 1.0	ll an gg ou ss tt 
langoust 1.0	l  ɑ̃  g  u  s  t  
langues 1.0	ll an gg 
langues 1.0	ll an gg zz 
langues 1.0	l  ɑ̃  g  
langues 1.0	l  ɑ̃  g  z  
lankan 1.0	ll an kk an 
lankan 1.0	ll an kk an nn 
lankan 1.0	l  ɑ̃  k  ɑ̃  
lankan 1.0	l  ɑ̃  k  ɑ̃  n  
lanm 1.0	ll an mm 
lanm 1.0	l  ɑ̃  m  
lanmè 1.0	ll an mm ai 
lanmè 1.0	l  ɑ̃  m  ɛ  
lanmèd 1.0	ll an mm ai 
lanmèd 1.0	ll an mm ai tt 
lanmèd 1.0	l  ɑ̃  m  ɛ  
lanmèd 1.0	l  ɑ̃  m  ɛ  t  
lanmen 1.0	ll an mm ai nn 
lanmen 1.0	l  ɑ̃  m  ɛ  n  
lanméri 1.0	ll an mm ei rr ii 
lanméri 1.0	l  ɑ̃  m  e  ʁ  i  
lanmérik 1.0	ll an mm ei rr ii kk 
lanmérik 1.0	l  ɑ̃  m  e  ʁ  i  k  
lanmès 1.0	ll an mm ai 
lanmès 1.0	ll an mm ai zz 
lanmès 1.0	l  ɑ̃  m  ɛ  
lanmès 1.0	l  ɑ̃  m  ɛ  z  
lanmo 1.0	ll an mm au 
lanmo 1.0	l  ɑ̃  m  o  
l'anmou 1.0	ll an mm ou 
l'anmou 1.0	l  ɑ̃  m  u  
lanmou 1.0	ll an mm ou 
lanmou 1.0	l  ɑ̃  m  u  
lanné 1.0	ll aa nn ei 
lanné 1.0	l  ɑ  n  e  
l'année 1.0	ll aa nn ei 
l'année 1.0	l  ɑ  n  e  
lanprèsman 1.0	ll an pp rr ai ss mm an 
lanprèsman 1.0	ll an pp rr ai ss mm an nn 
lanprèsman 1.0	l  ɑ̃  p  ʁ  ɛ  s  m  ɑ̃  
lanprèsman 1.0	l  ɑ̃  p  ʁ  ɛ  s  m  ɑ̃  n  
lansbètran 1.0	ll an ss bb ai tt rr an 
lansbètran 1.0	ll an ss bb ai tt rr an nn 
lansbètran 1.0	l  ɑ̃  s  b  ɛ  t  ʁ  ɑ̃  
lansbètran 1.0	l  ɑ̃  s  b  ɛ  t  ʁ  ɑ̃  n  
lansrokèt 1.0	ll an ss rr oo kk ai 
lansrokèt 1.0	ll an ss rr oo kk ai tt 
lansrokèt 1.0	l  ɑ̃  s  ʁ  ɔ  k  ɛ  
lansrokèt 1.0	l  ɑ̃  s  ʁ  ɔ  k  ɛ  t  
lantèman 1.0	ll an tt ai mm an 
lantèman 1.0	ll an tt ai mm an nn 
lantèman 1.0	l  ɑ̃  t  ɛ  m  ɑ̃  
lantèman 1.0	l  ɑ̃  t  ɛ  m  ɑ̃  n  
lantiy 1.0	ll an tt yy ii 
lantiy 1.0	l  ɑ̃  t  j  i  
lantman 1.0	ll an tt mm an 
lantman 1.0	ll an tt mm an nn 
lantman 1.0	l  ɑ̃  t  m  ɑ̃  
lantman 1.0	l  ɑ̃  t  m  ɑ̃  n  
lantou 1.0	ll an tt ou 
lantou 1.0	l  ɑ̃  t  u  
lanvironman 1.0	ll an vv ii rr on mm an 
lanvironman 1.0	ll an vv ii rr on mm an nn 
lanvironman 1.0	l  ɑ̃  v  i  ʁ  ɔ̃  m  ɑ̃  
lanvironman 1.0	l  ɑ̃  v  i  ʁ  ɔ̃  m  ɑ̃  n  
lapansé 1.0	ll aa pp an ss ei 
lapansé 1.0	l  ɑ  p  ɑ̃  s  e  
laparèt 1.0	ll aa pp aa rr ai 
laparèt 1.0	ll aa pp aa rr ai tt 
laparèt 1.0	l  ɑ  p  ɑ  ʁ  ɛ  
laparèt 1.0	l  ɑ  p  ɑ  ʁ  ɛ  t  
laparizyèn 1.0	ll aa pp aa rr ii zz yy ai nn 
laparizyèn 1.0	l  ɑ  p  ɑ  ʁ  i  z  j  ɛ  n  
lapèldéchanpyon 1.0	ll aa pp ai ll dd ei ch an pp yy on 
lapèldéchanpyon 1.0	ll aa pp ai ll dd ei ch an pp yy on nn 
lapèldéchanpyon 1.0	l  ɑ  p  ɛ  l  d  e  ʃ  ɑ̃  p  j  ɔ̃  
lapèldéchanpyon 1.0	l  ɑ  p  ɛ  l  d  e  ʃ  ɑ̃  p  j  ɔ̃  n  
lapenn 1.0	ll aa pp an nn 
lapenn 1.0	l  ɑ  p  ɑ̃  n  
lapenti 1.0	ll aa pp an tt ii 
lapenti 1.0	l  ɑ  p  ɑ̃  t  i  
laplas 1.0	ll aa pp ll aa 
laplas 1.0	ll aa pp ll aa zz 
laplas 1.0	l  ɑ  p  l  ɑ  
laplas 1.0	l  ɑ  p  l  ɑ  z  
lapli 1.0	ll aa pp ll ii 
lapli 1.0	l  ɑ  p  l  i  
laplipa 1.0	ll aa pp ll ii pp aa 
laplipa 1.0	l  ɑ  p  l  i  p  ɑ  
lapolis 1.0	ll aa pp oo ll ii 
lapolis 1.0	ll aa pp oo ll ii zz 
lapolis 1.0	l  ɑ  p  ɔ  l  i  
lapolis 1.0	l  ɑ  p  ɔ  l  i  z  
laprizon 1.0	ll aa pp rr ii zz on 
laprizon 1.0	ll aa pp rr ii zz on nn 
laprizon 1.0	l  ɑ  p  ʁ  i  z  ɔ̃  
laprizon 1.0	l  ɑ  p  ʁ  i  z  ɔ̃  n  
larèl 1.0	ll aa rr ai ll 
larèl 1.0	l  ɑ  ʁ  ɛ  l  
larézistanlarezistan 1.0	ll aa rr ei zz ii ss tt an ll aa rr ee zz ii ss tt an 
larézistanlarezistan 1.0	ll aa rr ei zz ii ss tt an ll aa rr ee zz ii ss tt an nn 
larézistanlarezistan 1.0	ll aa rr ei zz ii ss tt an ll aa rr zz ii ss tt an 
larézistanlarezistan 1.0	ll aa rr ei zz ii ss tt an ll aa rr zz ii ss tt an nn 
larézistanlarezistan 1.0	l  ɑ  ʁ  e  z  i  s  t  ɑ̃  l  ɑ  ʁ  ə  z  i  s  t  ɑ̃  
larézistanlarezistan 1.0	l  ɑ  ʁ  e  z  i  s  t  ɑ̃  l  ɑ  ʁ  ə  z  i  s  t  ɑ̃  n  
larézistanlarezistan 1.0	l  ɑ  ʁ  e  z  i  s  t  ɑ̃  l  ɑ  ʁ  z  i  s  t  ɑ̃  
larézistanlarezistan 1.0	l  ɑ  ʁ  e  z  i  s  t  ɑ̃  l  ɑ  ʁ  z  i  s  t  ɑ̃  n  
lari 1.0	ll aa rr ii 
lari 1.0	l  ɑ  ʁ  i  
larichès 1.0	ll aa rr ii ch ai 
larichès 1.0	ll aa rr ii ch ai zz 
larichès 1.0	l  ɑ  ʁ  i  ʃ  ɛ  
larichès 1.0	l  ɑ  ʁ  i  ʃ  ɛ  z  
las 1.0	ll aa 
las 1.0	ll aa zz 
las 1.0	l  ɑ  
las 1.0	l  ɑ  z  
lasa 1.0	ll aa zz aa 
lasa 1.0	l  ɑ  z  ɑ  
lasé 1.0	ll aa zz ei 
lasé 1.0	l  ɑ  z  e  
latannyé 1.0	ll aa tt aa nn yy ei 
latannyé 1.0	l  ɑ  t  ɑ  ɲ  e  
latravèsé 1.0	ll aa tt rr aa vv ai zz ei 
latravèsé 1.0	l  ɑ  t  ʁ  ɑ  v  ɛ  z  e  
lavalyè-la 1.0	ll aa vv aa ll yy ai ll aa 
lavalyè-la 1.0	l  ɑ  v  ɑ  l  j  ɛ  l  ɑ  
lavan 1.0	ll aa vv an 
lavan 1.0	ll aa vv an nn 
lavan 1.0	l  ɑ  v  ɑ̃  
lavan 1.0	l  ɑ  v  ɑ̃  n  
lavantaj 1.0	ll aa vv an tt aa jj 
lavantaj 1.0	l  ɑ  v  ɑ̃  t  ɑ  ʒ  
lavé 1.0	ll aa vv ei 
lavé 1.0	l  ɑ  v  e  
lavéyé 1.0	ll aa vv ei yy ei 
lavéyé 1.0	l  ɑ  v  e  j  e  
lavi 1.0	ll aa vv ii 
lavi 1.0	l  ɑ  v  i  
lavwa 1.0	ll aa vv ww aa 
lavwa 1.0	l  ɑ  v  w  ɑ  
le 1.0	ll 
le 1.0	ll ee 
le 1.0	l  
le 1.0	l  ə  
lé 1.0	ll ei 
lé 1.0	l  e  
lè 1.0	ll ai 
lè 1.0	l  ɛ  
léana 1.0	ll ei aa nn aa 
léana 1.0	l  e  ɑ  n  ɑ  
lèd 1.0	ll ai 
lèd 1.0	ll ai tt 
lèd 1.0	l  ɛ  
lèd 1.0	l  ɛ  t  
léfiji 1.0	ll ei ff ii jj ii 
léfiji 1.0	l  e  f  i  ʒ  i  
léhou 1.0	ll ei ou 
léhou 1.0	l  e  u  
lékilib 1.0	ll ei kk ii ll ii bb 
lékilib 1.0	l  e  k  i  l  i  b  
lékol 1.0	ll ei kk oo ll 
lékol 1.0	l  e  k  ɔ  l  
lékomès 1.0	ll ei kk oo mm ai 
lékomès 1.0	ll ei kk oo mm ai zz 
lékomès 1.0	l  e  k  ɔ  m  ɛ  
lékomès 1.0	l  e  k  ɔ  m  ɛ  z  
lékouz 1.0	ll ei kk ou 
lékouz 1.0	ll ei kk ou zz 
lékouz 1.0	l  e  k  u  
lékouz 1.0	l  e  k  u  z  
lekstériyè 1.0	ll ai kk ss tt ei rr ii yy ai 
lekstériyè 1.0	l  ɛ  k  s  t  e  ʁ  i  j  ɛ  
lekszitwa 1.0	ll ai kk ss zz ii tt ww aa 
lekszitwa 1.0	l  ɛ  k  s  z  i  t  w  ɑ  
lélanné 1.0	ll ei ll aa nn ei 
lélanné 1.0	l  e  l  ɑ  n  e  
lématématik 1.0	ll ei mm aa tt ei mm aa tt ii kk 
lématématik 1.0	l  e  m  ɑ  t  e  m  ɑ  t  i  k  
len 1.0	ll ai nn 
len 1.0	l  ɛ  n  
lenbé 1.0	ll an bb ei 
lenbé 1.0	l  ɑ̃  b  e  
lend 1.0	ll an 
lend 1.0	ll an tt 
lend 1.0	l  ɑ̃  
lend 1.0	l  ɑ̃  t  
lendi 1.0	ll an dd ii 
lendi 1.0	l  ɑ̃  d  i  
lendistri 1.0	ll an dd ii ss tt rr ii 
lendistri 1.0	l  ɑ̃  d  i  s  t  ʁ  i  
lenflyans 1.0	ll an ff ll yy an 
lenflyans 1.0	ll an ff ll yy an zz 
lenflyans 1.0	l  ɑ̃  f  l  j  ɑ̃  
lenflyans 1.0	l  ɑ̃  f  l  j  ɑ̃  z  
lenj 1.0	ll an jj 
lenj 1.0	l  ɑ̃  ʒ  
lenprézyon 1.0	ll an pp rr ei zz yy on 
lenprézyon 1.0	ll an pp rr ei zz yy on nn 
lenprézyon 1.0	l  ɑ̃  p  ʁ  e  z  j  ɔ̃  
lenprézyon 1.0	l  ɑ̃  p  ʁ  e  z  j  ɔ̃  n  
lenstan 1.0	ll an ss tt an 
lenstan 1.0	ll an ss tt an nn 
lenstan 1.0	l  ɑ̃  s  t  ɑ̃  
lenstan 1.0	l  ɑ̃  s  t  ɑ̃  n  
lentènèt 1.0	ll an tt ai nn ai 
lentènèt 1.0	ll an tt ai nn ai tt 
lentènèt 1.0	l  ɑ̃  t  ɛ  n  ɛ  
lentènèt 1.0	l  ɑ̃  t  ɛ  n  ɛ  t  
lépok 1.0	ll ei pp oo kk 
lépok 1.0	l  e  p  ɔ  k  
lérélasyon 1.0	ll ei rr ei ll aa zz yy on 
lérélasyon 1.0	ll ei rr ei ll aa zz yy on nn 
lérélasyon 1.0	l  e  ʁ  e  l  ɑ  z  j  ɔ̃  
lérélasyon 1.0	l  e  ʁ  e  l  ɑ  z  j  ɔ̃  n  
lèren 1.0	ll ai rr ai nn 
lèren 1.0	l  ɛ  ʁ  ɛ  n  
les 1.0	ll ei 
les 1.0	ll ei zz 
les 1.0	l  e  
les 1.0	l  e  z  
lésé 1.0	ll ei zz ei 
lésé 1.0	l  e  z  e  
lèsé 1.0	ll ai zz ei 
lèsé 1.0	l  ɛ  z  e  
lésent 1.0	ll ei zz an 
lésent 1.0	ll ei zz an tt 
lésent 1.0	l  e  z  ɑ̃  
lésent 1.0	l  e  z  ɑ̃  t  
lésé-y 1.0	ll ei zz ei ii 
lésé-y 1.0	l  e  z  e  i  
lesklavaj 1.0	ll ai ss kk ll aa vv aa jj 
lesklavaj 1.0	l  ɛ  s  k  l  ɑ  v  ɑ  ʒ  
lésott 1.0	ll ei zz oo tt 
lésott 1.0	l  e  z  ɔ  t  
lèsplikasyon 1.0	ll ai ss pp ll ii kk aa zz yy on 
lèsplikasyon 1.0	ll ai ss pp ll ii kk aa zz yy on nn 
lèsplikasyon 1.0	l  ɛ  s  p  l  i  k  ɑ  z  j  ɔ̃  
lèsplikasyon 1.0	l  ɛ  s  p  l  i  k  ɑ  z  j  ɔ̃  n  
lespotasyon 1.0	ll ai ss pp oo tt aa zz yy on 
lespotasyon 1.0	ll ai ss pp oo tt aa zz yy on nn 
lespotasyon 1.0	l  ɛ  s  p  ɔ  t  ɑ  z  j  ɔ̃  
lespotasyon 1.0	l  ɛ  s  p  ɔ  t  ɑ  z  j  ɔ̃  n  
lèspri 1.0	ll ai ss pp rr ii 
lèspri 1.0	l  ɛ  s  p  ʁ  i  
lestomak 1.0	ll ai ss tt oo mm aa kk 
lestomak 1.0	l  ɛ  s  t  ɔ  m  ɑ  k  
lèstonmak 1.0	ll ai ss tt on mm aa kk 
lèstonmak 1.0	l  ɛ  s  t  ɔ̃  m  ɑ  k  
lèstravay 1.0	ll ai ss tt rr aa vv aa ii 
lèstravay 1.0	l  ɛ  s  t  ʁ  ɑ  v  ɑ  i  
léta 1.0	ll ei tt aa 
léta 1.0	l  e  t  ɑ  
l'état 1.0	ll ei tt aa 
l'état 1.0	ll ei tt aa tt 
l'état 1.0	l  e  t  ɑ  
l'état 1.0	l  e  t  ɑ  t  
lété 1.0	ll ei tt ei 
lété 1.0	l  e  t  e  
lévé 1.0	ll ei vv ei 
lévé 1.0	l  e  v  e  
lévé-y 1.0	ll ei vv ei ii 
lévé-y 1.0	l  e  v  e  i  
lévolisyon 1.0	ll ei vv oo ll ii zz yy on 
lévolisyon 1.0	ll ei vv oo ll ii zz yy on nn 
lévolisyon 1.0	l  e  v  ɔ  l  i  z  j  ɔ̃  
lévolisyon 1.0	l  e  v  ɔ  l  i  z  j  ɔ̃  n  
lévwa 1.0	ll ei vv ww aa 
lévwa 1.0	l  e  v  w  ɑ  
lévwaz 1.0	ll ei vv ww aa 
lévwaz 1.0	ll ei vv ww aa zz 
lévwaz 1.0	l  e  v  w  ɑ  
lévwaz 1.0	l  e  v  w  ɑ  z  
léwop 1.0	ll ei ww au 
léwop 1.0	ll ei ww au pp 
léwop 1.0	l  e  w  o  
léwop 1.0	l  e  w  o  p  
léwoz 1.0	ll ei ww oo 
léwoz 1.0	ll ei ww oo zz 
léwoz 1.0	l  e  w  ɔ  
léwoz 1.0	l  e  w  ɔ  z  
lèwvwè 1.0	ll ai ww vv ww ai 
lèwvwè 1.0	l  ɛ  w  v  w  ɛ  
l'extérieur 1.0	ll ai kk ss tt ei rr yy oe rr 
l'extérieur 1.0	l  ɛ  k  s  t  e  ʁ  j  œ  ʁ  
lézanmi 1.0	ll ei zz an mm ii 
lézanmi 1.0	l  e  z  ɑ̃  m  i  
lézot 1.0	ll ei zz au 
lézot 1.0	ll ei zz au tt 
lézot 1.0	l  e  z  o  
lézot 1.0	l  e  z  o  t  
l'histoire 1.0	ll ii ss tt ww aa rr 
l'histoire 1.0	l  i  s  t  w  ɑ  ʁ  
l'historique 1.0	ll ii ss tt oo rr ii kk 
l'historique 1.0	l  i  s  t  ɔ  ʁ  i  k  
l'homme 1.0	ll oo mm 
l'homme 1.0	l  ɔ  m  
li 1.0	ll ii 
li 1.0	l  i  
libanè-la 1.0	ll ii bb aa nn ai ll aa 
libanè-la 1.0	l  i  b  ɑ  n  ɛ  l  ɑ  
libéré 1.0	ll ii bb ei rr ei 
libéré 1.0	l  i  b  e  ʁ  e  
libèté 1.0	ll ii bb ai tt ei 
libèté 1.0	l  i  b  ɛ  t  e  
lidé 1.0	ll ii dd ei 
lidé 1.0	l  i  d  e  
lidé-lasa 1.0	ll ii dd ei ll aa zz aa 
lidé-lasa 1.0	l  i  d  e  l  ɑ  z  ɑ  
lidik 1.0	ll ii dd ii kk 
lidik 1.0	l  i  d  i  k  
lil 1.0	ll ii ll 
lil 1.0	l  i  l  
lilèt 1.0	ll ii ll ai 
lilèt 1.0	ll ii ll ai tt 
lilèt 1.0	l  i  l  ɛ  
lilèt 1.0	l  i  l  ɛ  t  
lilèt-la 1.0	ll ii ll ai ll aa 
lilèt-la 1.0	l  i  l  ɛ  l  ɑ  
limenm 1.0	ll ii mm an mm 
limenm 1.0	l  i  m  ɑ̃  m  
limit 1.0	ll ii mm ii 
limit 1.0	ll ii mm ii tt 
limit 1.0	l  i  m  i  
limit 1.0	l  i  m  i  t  
l'inra 1.0	ll in rr aa 
l'inra 1.0	l  ɛ̃  ʁ  ɑ  
lis 1.0	ll ii ss 
lis 1.0	l  i  s  
lisé 1.0	ll ii zz ei 
lisé 1.0	l  i  z  e  
lison 1.0	ll ii zz on 
lison 1.0	ll ii zz on nn 
lison 1.0	l  i  z  ɔ̃  
lison 1.0	l  i  z  ɔ̃  n  
lité 1.0	ll ii tt ei 
lité 1.0	l  i  t  e  
livèr 1.0	ll ii vv ai rr 
livèr 1.0	l  i  v  ɛ  ʁ  
lizin 1.0	ll ii zz in 
lizin 1.0	ll ii zz in nn 
lizin 1.0	l  i  z  ɛ̃  
lizin 1.0	l  i  z  ɛ̃  n  
lizyè 1.0	ll ii zz yy ai 
lizyè 1.0	l  i  z  j  ɛ  
lo 1.0	ll au 
lo 1.0	l  o  
lod 1.0	ll oo 
lod 1.0	ll oo tt 
lod 1.0	l  ɔ  
lod 1.0	l  ɔ  t  
lodè 1.0	ll oo dd ai 
lodè 1.0	l  ɔ  d  ɛ  
lodè-la 1.0	ll oo dd ai ll aa 
lodè-la 1.0	l  ɔ  d  ɛ  l  ɑ  
loganizasyon 1.0	ll oo gg aa nn ii zz aa zz yy on 
loganizasyon 1.0	ll oo gg aa nn ii zz aa zz yy on nn 
loganizasyon 1.0	l  ɔ  g  ɑ  n  i  z  ɑ  z  j  ɔ̃  
loganizasyon 1.0	l  ɔ  g  ɑ  n  i  z  ɑ  z  j  ɔ̃  n  
lojé 1.0	ll oo jj ei 
lojé 1.0	l  ɔ  ʒ  e  
lokans 1.0	ll oo kk an 
lokans 1.0	ll oo kk an zz 
lokans 1.0	l  ɔ  k  ɑ̃  
lokans 1.0	l  ɔ  k  ɑ̃  z  
lokasyon 1.0	ll oo kk aa zz yy on 
lokasyon 1.0	ll oo kk aa zz yy on nn 
lokasyon 1.0	l  ɔ  k  ɑ  z  j  ɔ̃  
lokasyon 1.0	l  ɔ  k  ɑ  z  j  ɔ̃  n  
lokazyon 1.0	ll oo kk aa zz yy on 
lokazyon 1.0	ll oo kk aa zz yy on nn 
lokazyon 1.0	l  ɔ  k  ɑ  z  j  ɔ̃  
lokazyon 1.0	l  ɔ  k  ɑ  z  j  ɔ̃  n  
lontan 1.0	ll on tt an 
lontan 1.0	ll on tt an nn 
lontan 1.0	l  ɔ̃  t  ɑ̃  
lontan 1.0	l  ɔ̃  t  ɑ̃  n  
lopilans 1.0	ll oo pp ii ll an 
lopilans 1.0	ll oo pp ii ll an zz 
lopilans 1.0	l  ɔ  p  i  l  ɑ̃  
lopilans 1.0	l  ɔ  p  i  l  ɑ̃  z  
lot 1.0	ll au 
lot 1.0	ll au tt 
lot 1.0	l  o  
lot 1.0	l  o  t  
lot-la 1.0	ll au ll aa 
lot-la 1.0	l  o  l  ɑ  
lou 1.0	ll ou 
lou 1.0	l  u  
louragan 1.0	ll ou rr aa gg an 
louragan 1.0	ll ou rr aa gg an nn 
louragan 1.0	l  u  ʁ  ɑ  g  ɑ̃  
louragan 1.0	l  u  ʁ  ɑ  g  ɑ̃  n  
luil 1.0	ll uy yy 
luil 1.0	l  ɥ  j  
lwa 1.0	ll ww aa 
lwa 1.0	l  w  ɑ  
lwen 1.0	ll ww ai nn 
lwen 1.0	l  w  ɛ  n  
lwil 1.0	ll ww ii ll 
lwil 1.0	l  w  i  l  
lyanné 1.0	ll yy aa nn ei 
lyanné 1.0	l  j  ɑ  n  e  
m 1.0	ai mm 
m 1.0	ɛ  m  
ma 1.0	mm aa 
ma 1.0	m  ɑ  
macaque 1.0	mm aa kk aa kk 
macaque 1.0	m  ɑ  k  ɑ  k  
machann 1.0	mm aa ch an nn 
machann 1.0	m  ɑ  ʃ  ɑ̃  n  
maché 1.0	mm aa ch ei 
maché 1.0	m  ɑ  ʃ  e  
madanm 1.0	mm aa dd an mm 
madanm 1.0	m  ɑ  d  ɑ̃  m  
madanm-la 1.0	mm aa dd an mm ll aa 
madanm-la 1.0	m  ɑ  d  ɑ̃  m  l  ɑ  
madè 1.0	mm aa dd ai 
madè 1.0	m  ɑ  d  ɛ  
madi 1.0	mm aa dd ii 
madi 1.0	m  ɑ  d  i  
madras 1.0	mm aa dd rr aa ss 
madras 1.0	m  ɑ  d  ʁ  ɑ  s  
mafi 1.0	mm aa ff ii 
mafi 1.0	m  ɑ  f  i  
magré 1.0	mm aa gg rr ei 
magré 1.0	m  ɑ  g  ʁ  e  
main 1.0	mm in 
main 1.0	mm in nn 
main 1.0	m  ɛ̃  
main 1.0	m  ɛ̃  n  
mais 1.0	mm ai 
mais 1.0	mm ai zz 
mais 1.0	m  ɛ  
mais 1.0	m  ɛ  z  
maison 1.0	mm ai zz on 
maison 1.0	mm ai zz on nn 
maison 1.0	m  ɛ  z  ɔ̃  
maison 1.0	m  ɛ  z  ɔ̃  n  
maji 1.0	mm aa jj ii 
maji 1.0	m  ɑ  ʒ  i  
mak 1.0	mm aa kk 
mak 1.0	m  ɑ  k  
makak 1.0	mm aa kk aa kk 
makak 1.0	m  ɑ  k  ɑ  k  
maké 1.0	mm aa kk ei 
maké 1.0	m  ɑ  k  e  
maké’w 1.0	mm aa kk ei 
maké’w 1.0	m  ɑ  k  e  
mal 1.0	mm aa ll 
mal 1.0	m  ɑ  l  
malad 1.0	mm aa ll aa 
malad 1.0	mm aa ll aa tt 
malad 1.0	m  ɑ  l  ɑ  
malad 1.0	m  ɑ  l  ɑ  t  
maladi 1.0	mm aa ll aa dd ii 
maladi 1.0	m  ɑ  l  ɑ  d  i  
malcom 1.0	mm aa ll kk on 
malcom 1.0	m  ɑ  l  k  ɔ̃  
malè 1.0	mm aa ll ai 
malè 1.0	m  ɑ  l  ɛ  
malélivé 1.0	mm aa ll ei ll ii vv ei 
malélivé 1.0	m  ɑ  l  e  l  i  v  e  
maléré 1.0	mm aa ll ei rr ei 
maléré 1.0	m  ɑ  l  e  ʁ  e  
man 1.0	mm an 
man 1.0	mm an nn 
man 1.0	m  ɑ̃  
man 1.0	m  ɑ̃  n  
manch 1.0	mm an ch 
manch 1.0	m  ɑ̃  ʃ  
mandé 1.0	mm an dd ei 
mandé 1.0	m  ɑ̃  d  e  
mandé-i 1.0	mm an dd ei ii 
mandé-i 1.0	m  ɑ̃  d  e  i  
mandé-mwen 1.0	mm an dd ei mm ww ai nn 
mandé-mwen 1.0	m  ɑ̃  d  e  m  w  ɛ  n  
mandé-nou 1.0	mm an dd ei nn ou 
mandé-nou 1.0	m  ɑ̃  d  e  n  u  
mandé-w 1.0	mm an dd ei dd ou bb ll ee vv ei 
mandé-w 1.0	mm an dd ei dd ou bb ll vv ei 
mandé-w 1.0	m  ɑ̃  d  e  d  u  b  l  ə  v  e  
mandé-w 1.0	m  ɑ̃  d  e  d  u  b  l  v  e  
mandé’y 1.0	mm an dd ei 
mandé’y 1.0	m  ɑ̃  d  e  
manfou 1.0	mm an ff ou 
manfou 1.0	m  ɑ̃  f  u  
mangn 1.0	mm an nn yy 
mangn 1.0	mm an nn yy nn 
mangn 1.0	m  ɑ̃  ɲ  
mangn 1.0	m  ɑ̃  ɲ  n  
mangnok 1.0	mm an nn yy oo kk 
mangnok 1.0	m  ɑ̃  ɲ  ɔ  k  
manjé 1.0	mm an jj ei 
manjé 1.0	m  ɑ̃  ʒ  e  
manjé-y 1.0	mm an jj ei ii 
